ImageID,MBP_coverage,Slide_number,Region,Age,Age_group,,,
MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc-1.tif,0.003,284,Calc,0,a_0-1.5,,,
MAX_A15-76_0mo_Slide313_DAPI_MAP2-594_MBP-647_Calc.czi - A15-76_0mo_Slide313_DAPI_MAP2-594_MBP-647_Calc.czi #1-1.tif,0.014,313,Calc,0,a_0-1.5,,,
crop_MAX_A15-76_0mo_Slide315_DAPI_MAP2-594_MBP-647_Calc-1.tif,0.011,315,Calc,0,a_0-1.5,,,
MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-1.tif,0,284,CoS,0,a_0-1.5,,,
MAX_A15-76_0mo_Slide313_DAPI_MAP2-594_MBP-647_CoS-1.tif,0.005,313,CoS,0,a_0-1.5,,,
crop_MAX_A15-76_0mo_Slide315_DAPI_MAP2-594_MBP-647_CoS-1.tif,0,315,CoS,0,a_0-1.5,,,
MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Fus-1.tif,0,284,FG,0,a_0-1.5,,,
MAX_A15-76_0mo_Slide313_DAPI_MAP2-594_MBP-647_FG.czi - A15-76_0mo_Slide313_DAPI_MAP2-594_MBP-647_FG.czi #1-1.tif,0,313,FG,0,a_0-1.5,, , 
crop_MAX_A15-76_0mo_Slide315_DAPI_MAP2-594_MBP-647_FG-1.tif,0,315,FG,0,a_0-1.5,,,
crop_MAX_A15-16_0.44months_Slide107_DAPI-405_Olig2-488_MBP-594_Fe-647_Calc-fundus-1.tif,0.071,107,Calc,1,a_0-1.5,,,
crop_MAX_A15-16_0.44mo_Slide178_DAPI-405_Iba1-488_MBP-594_Fe-647_Calc-1.tif,0.016,178,Calc,1,a_0-1.5,,,
crop_MAX_A15-16_0.44months_Slide107_DAPI-405_Olig2-488_MBP-594_Fe-647_Cos-1.tif,0.002,107,CoS,1,a_0-1.5,,,
crop_MAX_A15-16_0.44mo_Slide178_DAPI-405_Iba1-488_MBP-594_Fe-647_Cos-1.tif,0.000087,178,CoS,1,a_0-1.5,,,
crop_MAX_A15-16_0.44mo_Slide178_DAPI-405_Iba1-488_MBP-594_Fe-647_Fus-1.tif,0.0000782,178,FG,1,a_0-1.5,,,
crop_MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Calc-1.tif,0.017,150,Calc,1.5,a_0-1.5,,,
crop_MAX_09277024_1.5mo_LH_Slide191_DAPI_MBP-594_BCAS1-647_Calc-1.tif,1.306,191,Calc,1.5,a_0-1.5,,,
crop_MAX_09277024_1.5mo_LH_Slide300_DAPI_MBP-594_BCAS1-647_Calc-1-1.tif,0.086,300,Calc,1.5,a_0-1.5,,,
crop_MAX_09277024_1.5mo_LH_Slide257_DAPI_MBP-594_BCAS1-647_CoS-1.tif,0.195,257,CoS,1.5,a_0-1.5,,,
MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Fus-1.tif,0,150,FG,1.5,a_0-1.5,,,
MAX_09277024_1.5mo_LH_Slide191_DAPI_MBP-594_BCAS1-647_MFS-1.tif,0,191,FG,1.5,a_0-1.5,,,
crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,2.787,101,Calc,4,b_4-6,,,
crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Calc-1.tif,2.321,123,Calc,4,b_4-6,,,
crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Calc-1.tif,2.698,154,Calc,4,b_4-6,,,
crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_Calc-1.tif,8.75,172,Calc,4,b_4-6,,,
crop_MAX_A19-122_4months_Slide199_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,10.447,199,Calc,4,b_4-6,,,
crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos-1.tif,1.604,101,CoS,4,b_4-6,,,
crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_Cos-1.tif,0.343,123,CoS,4,b_4-6,,,
crop_MAX_A19-122_4months_Slide154_DAPI_MBP-594_BCAS1-647_Cos-2.tif,2.84,154,CoS,4,b_4-6,,,
crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_Cos-1.tif,0.824,172,CoS,4,b_4-6,,,
crop_MAX_A19-122_4months_Slide199_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos-1.tif,0.288,199,CoS,4,b_4-6,,,
crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_FG.tif,3.233,101,FG,4,b_4-6,,,
crop_MAX_A19-122_4mo_Slide123_DAPI-MBP-BCAS1_MFS-1.tif,1.547,123,FG,4,b_4-6,,,
crop_MAX_A19-122_4mo_Slide172_DAPI-MBP-BCAS1_MFS-1.tif,4.546,172,FG,4,b_4-6,,,
crop_MAX_A22-97_5mo_Slide122_DAPI-405_Iba1-488_MBP-594_Fe-647_Calc-1.tif,10.15,122,Calc,5,b_4-6,,,
MAX_A22-97-RH-5m-135-DAPI-IBA1-MBP-BCAS1-40X-StripCalc_real-1-1.tif,5.474,135,Calc,5,b_4-6,,,
crop_MAX_A22-97_5mo_Slide137_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc-1.tif,11.085,137,Calc,5,b_4-6,,,
crop_MAX_A22-97_5mo_LH_Slide181_DAPI_NeuN-488_MAP2-594_MBP-647_Calc-1-1.tif,8.633,181,Calc,5,b_4-6,,,
MAX_A22-97-RH-5m-185-DAPI-IBA1-MBP-BCAS1-40X-StripCalc_real-1.tif,5.428,185,Calc,5,b_4-6,,,
MAX_A22-97-RH-5m-101-DAPI-IBA1-MBP-BCAS1-40X-Strip-Calc_real-1.tif,9.411,5mo_101,Calc,5,b_4-6,,,
crop_MAX_A22-97_5mo_Slide77_DAPI-405_Olig2-488_MBP-594_Fe-647_Cos-1.tif,3.584,77,CoS,5,b_4-6,,,
crop_MAX_A22-97_5mo_Slide122_DAPI-405_Iba1-488_MBP-594_Fe-647_Cos-1.tif,2.576,122,CoS,5,b_4-6,,,
MAX_A22-97-RH-5m-135-DAPI-IBA1-MBP-BCAS1-40X-StripCoS-1-1.tif,4.585,135,CoS,5,b_4-6,,,
crop_MAX_A22-97_5mo_Slide137_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-1.tif,2.644,137,CoS,5,b_4-6,,,
crop_MAX_A22-97_5mo_Slide145_DAPI-405_Iba1-488_MBP-594_Fe-647_Cos-1.tif,0.388,145,CoS,5,b_4-6,,,
MAX_A22-97_5mo_LH_Slide181_DAPI_NeuN-488_MAP2-594_MBP-647_CoS-1.tif,2.039,181,CoS,5,b_4-6,, ,
MAX_A22-97-RH-5m-185-DAPI-IBA1-MBP-BCAS1-40X-StripCoS-1-1.tif,5.114,185,CoS,5,b_4-6,,,
manual_MAX_A22-97-RH-5m-101-DAPI-IBA1-MBP-BCAS1-40X-Strip-CoS001-1-1-1.tif,0.554,5mo_101,CoS,5,b_4-6,,,
crop_MAX_A22-97_5mo_Slide77_DAPI-405_Olig2-488_MBP-594_Fe-647_MFS-1.tif,3.965,77,FG,5,b_4-6,,,
crop_MAX_A22-97_5mo_Slide145_DAPI-405_Iba1-488_MBP-594_Fe-647_MFS-1.tif,2.681,145,FG,5,b_4-6,,,
crop_MAX_A22-97_5mo_LH_Slide167_DAPI_PV-488_MVP-594_BCAS1-647_MFS-1.tif,3.99,167,FG,5,b_4-6,,,
crop_MAX_A22-97_5mo_LH_Slide181_DAPI_NeuN-488_MAP2-594_MBP-647_FG-1-1.tif,7.965,181,FG,5,b_4-6,,,
crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc-1.tif,6.49,73,Calc,6,b_4-6,,,
crop_MAX_A20-21_6mo_Slide86_DAPI_NeuN-488_MAP2-594_MBP-647_Calc-1-1.tif,5.527,86,Calc,6,b_4-6,,,
crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc-1.tif,6.453,118,Calc,6,b_4-6,,,
crop_MAX_A20-21_3mo_Slide150_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc-1.tif,3.586,5mo_150,Calc,6,b_4-6,,,
crop_MAX_A20-21_3mo_Slide151_DAPI-405_Olig2-488_MBP-594_Fe-647_Calc-1.tif,5.85,151,Calc,6,b_4-6,,,
crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-1.tif,3.344,73,CoS,6,b_4-6,, ,
MAX_A20-21_6mo_Slide86_DAPI_NeuN-488_MAP2-594_MBP-647_CoS-1.tif,2.485,86,CoS,6,b_4-6,,,
crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-1.tif,3.485,118,CoS,6,b_4-6,,,
crop_MAX_A20-21_27gw6mo_Slide150_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-1.tif,2.264,5mo_150,CoS,6,b_4-6,,,
crop_MAX_A20-21_3mo_Slide151_DAPI-405_Olig2-488_MBP-594_Fe-647_Cos-1.tif,1.41,151,CoS,6,b_4-6,,,
crop_MAX_A20-21_Slide73_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS-1.tif,7.191,73,FG,6,b_4-6,,,
crop_MAX_A20-21_6mo_Slide86_DAPI_NeuN-488_MAP2-594_MBP-647_FG-1.tif,2.428,86,FG,6,b_4-6,,,
crop_MAX_A20-21_3mo_Slide118_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS-1.tif,3.792,118,FG,6,b_4-6,,,
MAX_A20-21_3mo_Slide151_DAPI-405_Olig2-488_MBP-594_Fe-647_Fus-1.tif,2.601,151,FG,6,b_4-6,,,
crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Calc-1.tif,5.341,75,Calc,24,d_2yr,,,
crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Calc-1.tif,4.884,241,Calc,24,d_2yr,,,
crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,2.75,273,Calc,24,d_2yr,,,
crop_MAX_A14-33_2yo_BlockA2_slide75_DAPI_PV-488_MBP-594_BCAS1-647_Cos-1.tif,2.949,75,CoS,24,d_2yr,,,
crop_MAX_A14-33_2yo_BlockA2_Slide241_DAPI-Olig2-488_MBP-594_BCAS1-647_Cos-1.tif,0.545,241,CoS,24,d_2yr,,,
crop_MAX_A14-33_2yo_BlockA2_Slide273_DAPI-MAP2-488_MBP-594_BCAS1-647_Cos-1.tif,2.534,273,CoS,24,d_2yr,,,
crop_MAX_A14-33_2yo_BlockA1_Slide29_DAPI_PV-488_MBP-594_BCAS1-647_MFS-1.tif,18.015,29,FG,24,d_2yr,,,
crop_MAX_A14-33_2yo_BlockA1_Slide113_DAPI-MAP2-488_MBP-594_BCAS1-647_MFS-1.tif,5.539,113,FG,24,d_2yr,,,
MAX_A14-33_2yo_BlockA1_Slide151_DAPI_MAP2-594_MBP-647_FG.czi - A14-33_2yo_BlockA1_Slide151_DAPI_MAP2-594_MBP-647_FG.czi #1-1.tif,11.43,151,FG,24,d_2yr,,,
crop_MAX_A22-49_9yo_Slide200_DAPI-405_Olig2-488_MBP-594_Fe-647_Calc-1.tif,24.582,200,Calc,108,e_9yr,,,
crop_MAX_A22-49_9yo_Slide229_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc-1.tif,32.726,229,Calc,108,e_9yr,,,
crop_MAX_A22-49_Slide251_MBP-594-1.tif,31.968,251,Calc,108,e_9yr,,,
crop_MAX_A22-49_9yo_LH_Slide391_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,28.393,391,Calc,108,e_9yr,,,
crop_MAX_A22-49_9yo_LH_Slide397_DAPI_MBP-594_BCAS1-647_Calc-1.tif,30.166,397,Calc,108,e_9yr,,,
crop_MAX_A22-49_9yo_LH_Slide403_DAPI_Olig2-488_MBP-594_BCAS1-647_Calc-1.tif,43.232,403,Calc,108,e_9yr,,,
crop_2_MAX_A22-49_Slide75_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos-2-1.tif,30.103,9yr_75,CoS,108,e_9yr,,,
crop_MAX-rotated_A22-49_9yo_Slide83_NFH-405_VGlut2-488_MBP-594_PV-647_Cos-1-1.tif,26.743,83,CoS,108,e_9yr,,,
crop_MAX_A22-49_9yo_Slide84_DAPI-405_Olig2-488_MBP-594_Fe-647_Cos-1.tif,23.57,84,CoS,108,e_9yr,,,
crop_MAX_A22-49_9yo_LH_Slide391_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos-1.tif,35.466,391,CoS,108,e_9yr,,,
crop_MAX_A22-49_9yo_LH_Slide397_DAPI_MBP-594_BCAS1-647_Cos-1.tif,34.955,397,CoS,108,e_9yr,,,
crop_MAX_A22-49_9yo_LH_Slide403_DAPI_Olig2-488_MBP-594_BCAS1-647_Cos-1.tif,30.901,403,CoS,108,e_9yr,,,
crop_MAX_A22-49_Slide75_DAPI-405_PV-488_MBP-594_BCAS1-647_MFS-1.tif,23.529,9yr_75,FG,108,e_9yr,,,
MAX_A22-49_9yo_Slide83_NFH-405_VGlut2-488_MBP-594_PV-647_Fus-1-1.tif,28.009,83,FG,108,e_9yr,,,
crop_MAX_A22-49_9yo_Slide84_DAPI-405_Olig2-488_MBP-594_Fe-647_MFS-1.tif,24.172,84,FG,108,e_9yr,,,
crop_MAX_A22-49_9yo_LH_Slide391_DAPI_MAP2-488_MBP-594_BCAS1-647_MFS-1.tif,40.021,391,FG,108,e_9yr,,,
crop_MAX_A22-49_9yo_LH_Slide397_DAPI_MBP-594_BCAS1-647_Fus-1-1.tif,39.886,397,FG,108,e_9yr,,,
crop_MAX_A22-49_9yo_LH_Slide403_DAPI_Olig2-488_MBP-594_BCAS1-647_Fus-1.tif,43.221,403,FG,108,e_9yr,,,
crop_MAX_A22-42_25yo_Block4B_Slide33_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,38.904,33,Calc,300,f_25yr,,,
