Image_ID,Count,Area,Avg_size,Area_percent,Mean,Age,Measure,CARS,MBP,Layer
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 15)-1-1.tif,171,502.732,2.94,15.542,255,9 yrs,MBP,25.275,15.542,WM
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 14)-1-1.tif,133,347.829,2.615,10.753,255,9 yrs,MBP,22.14,10.753,WM
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 13)-1-1.tif,175,545.253,3.116,16.856,255,9 yrs,MBP,22.604,16.856,WM
9Y-197-WM-9-Calc-1-1.tif,191,817.568,4.28,25.275,255,9 yrs,CARS,,,WM
9Y-197-WM-8-Calc-1-1.tif,178,716.171,4.023,22.14,255,9 yrs,CARS,,,WM
9Y-197-WM-7-Calc-1-1.tif,194,731.175,3.769,22.604,255,9 yrs,CARS,,,WM
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 (series 3)-1-1.tif,164,758.63,4.626,23.452,255,6mo,MBP,24.371,23.452,WM
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 (series 2)-1-1.tif,104,604.549,5.813,18.689,255,6mo,MBP,16.156,18.689,WM
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 (series 1)-1-1.tif,155,722.408,4.661,22.333,255,6mo,MBP,23.517,22.333,WM
3m-38-WM-3-Calc-1-1.tif,222,788.349,3.551,24.371,255,6mo,CARS,,,WM
3m-38-WM-2-Calc-1-1.tif,128,522.6,4.083,16.156,255,6mo,CARS,,,WM
3m-38-WM-1-Calc-1-1.tif,197,760.701,3.861,23.517,255,6mo,CARS,,,WM
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 12)-1-1.tif,96,521.221,5.429,16.113,255,9 yrs,MBP,11.198,16.113,L6
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 11)-1-1.tif,135,661.438,4.9,20.448,255,9 yrs,MBP,17.769,20.448,L6
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 10)-1-1.tif,144,555.439,3.857,17.171,255,9 yrs,MBP,12.485,17.171,L6
9Y-197-L6-9-Calc-1-1.tif,128,362.231,2.83,11.198,255,9 yrs,CARS,,,L6
9Y-197-L6-8-Calc-1-1.tif,179,574.768,3.211,17.769,255,9 yrs,CARS,,,L6
9Y-197-L6-7-Calc-1-1.tif,134,403.85,3.014,12.485,255,9 yrs,CARS,,,L6
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 09)-1-1.tif,195,727.447,3.73,22.488,255,9 yrs,MBP,18.605,22.488,L4
